name,author,description,book_id,genre
At the Water's Edge,SARA GRUEN,"While her brother, Ellis, and his friend try to find the Loch Ness monster in an attempt to get back into her father's good graces, Maddie is left on her own in World War II-era Scotland and experiences a social awakening.",1394,"['Historical Fiction', 'Fiction', 'Book Club', 'Romance', 'Historical', 'Audiobook', 'Scotland']"
The Running Man,STEPHEN KING,Welcome to America in 2025 when the best men don't run for president. They run for thier lives--in the ultimate death game.,1395,"['Horror', 'Fiction', 'Science Fiction', 'Thriller', 'Dystopia', 'Audiobook', 'Fantasy']"
Gilead,MARILYNNE ROBINSON,"In 1956, toward the end of his life, Reverend John Ames begins a letter to his young son, sharing the story of his life and explaining how his faith influenced his choices and actions.",1396,"['Fiction', 'Historical Fiction', 'Book Club', 'Literary Fiction', 'Novels', 'Literature', 'Audiobook']"
Demonglass (A Hex Hall Novel),RACHEL HAWKINS,"After learning that she is capable of dangerous magic, Sophie Mercer goes to England with her father, friend Jenna, and Cal hoping to have her powers removed, but soon she learns that she is being hunted by the Eye--and haunted by Elodie.",1399,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Magic', 'Vampires', 'Witches']"
Ubik,PHILIP K. DICK,"Glenn Runciter ha muerto. ¿O lo han hecho todos los demás? Alguien murió en una explosión organizada por sus competidores. De hecho, es el funeral de Runciter el que está programado en Des Moines. Pero mientras tanto, sus afligidos empleados están recibiendo asombrosos y a veces escatológicos mensajes de su jefe.",1400,"['Science Fiction', 'Fiction', 'Classics', 'Novels', 'Mystery', 'Science Fiction Fantasy', 'Audiobook']"
The Ballet Called Giselle,CYRIL W. BEAUMONT,,1401,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Audiobook']"
Hannibal,THOMAS HARRIS,"WORTH THE WAIT. . . Harris's writing bears the hallmarks of honed perfection. . . this piece of literature is popular fiction only in the sense that it will sell. And sell. . . LOOK NO FURTHER FOR THE CHILLER OF THE YEAR' Peter Millar, The times 'Insanely",1402,"['Horror', 'Fiction', 'Thriller', 'Crime', 'Mystery', 'Mystery Thriller', 'Suspense']"
The Vampire Diaries: The Fury and Dark Reunion,L. J. SMITH,"Elena: transformed, the golden girl has become what she once feared and desired. Stefan: tormented by losing Elena, he's determined to end his feud with Damon once and for all—whatever the cost. But slowly he begins to realize that his brother is not his only enemy. Damon: at last, he possesses Elena. But will his thirst for revenge against Stefan poison his triumph? Or can they come together to face one final battle? Collected here in one edition are the third and fourth volumes of The Vampire Diaries, a riveting conclusion to the tale of two vampire brothers and the beautiful girl torn between them.",1403,"['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Fiction', 'Supernatural']"
Three Wishes,LIANE MORIARTY,"Australian triplets Lyn, Cat, and Gemma Kettle are about to turn thirty-three and one is pregnant, one has just had her life turned upside down, and one is only just keeping hers from skidding off the fast lane. Meanwhile, their divorced parents have been behaving very oddly indeed. In this family comedy by Liane Moriarty, we follow the three Kettle sisters through their tumultuous thirty-third year -- as they deal with sibling rivalry and secrets, revelations and relationships, unfaithful husbands and unthinkable decisions, and the fabulous, frustrating life of forever being part of a trio.",1404,"['Fiction', 'Chick Lit', 'Audiobook', 'Contemporary', 'Book Club', 'Australia', 'Romance']"
Crashed,ROBIN WASSERMAN,Chapter 1.,1405,"['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Supernatural', 'Witches']"
Fall on Your Knees,ANN-MARIE MACDONALD,"The smash ""New York Times"" bestseller and Oprah's Book Club( selection is now available in paperback. The Pipers of Cape Breton Island are a family steeped in lies and unspoken truths that reach out from the past, forever mindful of the tragic secret that could shatter the family to its foundations.",1406,"['Fiction', 'Historical Fiction', 'Canada', 'Book Club', 'Historical', 'Literary Fiction', 'Novels']"
Morning Star,PIERCE BROWN,"#1 NEW YORK TIMES BESTSELLER • Red Rising thrilled readers and announced the presence of a talented new author. Golden Son changed the game and took the story of Darrow to the next level. Now comes the exhilarating next chapter in the Red Rising Saga: Morning Star. ITW THRILLER AWARD FINALIST • “[Brown’s] achievement is in creating an uncomfortably familiar world of flaw, fear, and promise.”—Entertainment Weekly Darrow would have lived in peace, but his enemies brought him war. The Gold overlords demanded his obedience, hanged his wife, and enslaved his people. But Darrow is determined to fight back. Risking everything to transform himself and breach Gold society, Darrow has battled to survive the cutthroat rivalries that breed Society’s mightiest warriors, climbed the ranks, and waited patiently to unleash the revolution that will tear the hierarchy apart from within. Finally, the time has come. But devotion to honor and hunger for vengeance run deep on both sides. Darrow and his comrades-in-arms face powerful enemies without scruple or mercy. Among them are some Darrow once considered friends. To win, Darrow will need to inspire those shackled in darkness to break their chains, unmake the world their cruel masters have built, and claim a destiny too long denied—and too glorious to surrender. Praise for Morning Star “There is no one writing today who does shameless, Michael Bay–style action set pieces the way Brown does. The battle scenes are kinetic, bloody, breathless, crazy. Everything is on fire all the time.”—NPR “Morning Star is this trilogy’s Return of the Jedi. . . . The impactful battles that make up most of Morning Star are damn near operatic. . . . It absolutely satisfies.”—Tordotcom “Excellent . . . Brown’s vivid, first-person prose puts the reader right at the forefront of impassioned speeches, broken families, and engaging battle scenes . . . as this interstellar civil war comes to a most satisfying conclusion.”—Publishers Weekly (starred review) “A page-turning epic filled with twists and turns . . . The conclusion to Brown’s saga is simply stellar.”—Booklist (starred review) Don’t miss any of Pierce Brown’s Red Rising Saga: RED RISING • GOLDEN SON • MORNING STAR • IRON GOLD • DARK AGE • LIGHT BRINGER",1407,"['Science Fiction', 'Fantasy', 'Fiction', 'Dystopia', 'Audiobook', 'Young Adult', 'Adult']"
Mossflower,BRIAN JACQUES,"The Redwall series is soon to be a Netflix original movie! The thrilling prequel to Redwall, a must-read for any fan of the beloved, bestselling Redwall saga. The clever and greedy wildcat Tsarmina becomes ruler of all Mossflower Woods and is determined to govern the peaceful woodlanders with an iron paw. The brave mouse Martin and quick-talking mouse thief Gonff meet in the depths of Kotir Castle's dungeon. The two escape and resolve to end Tsarmina's tyrannical rule. Joined by Kinny the mole, Martin and Gonff set off on a dangerous quest for Salamandastron, where they are convinced that their only hope, Boar the Fighter, still lives. Perfect for fans of T. A. Barron’s Merlin saga, John Flanagan’s Ranger’s Apprentice series, and J. R. R. Tolkien’s Lord of the Rings series.",1408,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Animals', 'Adventure', 'Middle Grade']"
Furiously Happy,JENNY LAWSON,"""In Furiously Happy...Jenny Lawson explores her lifelong battle with mental illness""--",1409,"['Nonfiction', 'Memoir', 'Audiobook', 'Mental Health', 'Biography', 'Book Club', 'Humor']"
The Blessing Stone,BARBARA WOOD,"Millions of years ago, a meteorite fell to earth and a beautiful blue stone shattered from it. One hundred thousand years ago, a girl named Tall One found the crystal on the African plain---and it formed her destiny, as well as the destiny of generations to come. From ancient Israel to imperial Rome, medieval England, fifteenth-century Germany, the eighteenth-century Caribbean, and the nineteenth-century American West, the destiny of the stone and the history of the world unfold. Each story is full of the betrayals and obsessions of the human heart, and the quests of the human spirit. In ""The Blessing Stone,"" Barbara Wood has both told the intimate details of her characters' lives and created a sense of the epic sweep of human history.",1410,"['Mystery', 'Fiction', 'Humor', 'Chick Lit', 'Christmas', 'Romance', 'Audiobook']"
Magician: Apprentice,RAYMOND E. FEIST,"The Riftwar Saga—a classic of fantasy literature which no true fan should be without—opens with this tale of magic, might, and adventure. “One of the world’s most successful fantasy fiction authors.”—The Guardian Raymond E. Feist’s Riftwar Saga—a classic of fantasy literature which no true fan should be without—opens with this tale of magic, might, and adventure. Orphaned boy Pug is apprenticed to a powerful court magician named Kulgan in the world of Midkemia. Though ill at ease with the normal ways of wizardry, Pug soon earns his place as a squire after saving the life of one of the royals at court. But his courage will be tested still further when dark beings from another world open a rift in the fabric of spacetime to rekindle the age-old battle between the forces of Order and Chaos. Now the lives of Pug and his friend Tomas are thrown into danger and disarray. Only Pug’s strange brand of magic might yet turn the tide, in the struggle to repel the invaders and restore peace to Midkemia. Praise for Magician: Apprentice “Understandably, this is one of the highest-regarded books in the world.”—Fantasy Book Review “Totally gripping . . . A fantasy of epic scope, fast-moving action and vivid imagination.”—The Washington Post Book World “Most exciting . . . A very worthy and absorbing addition to the fantasy field.”—Andre Norton “The best new fantasty in years . . . has a chance of putting its aughor firmly on the trone next to Tolkien—and keeping him there.”—The Dragon Magazine",1411,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Magic', 'Adventure']"
On The Island,TRACEY GARVIS GRAVES,"It would always be summer on the island . . . THE EMOTIONALLY GRIPPING AND ADDICTIVE NEW YORK TIMES BESTSELLER 'I cannot put into words the love I have for Anna and T.J. I felt as though I was right there with them' 5***** Reader Review 'I'd give this more than 5 stars if I could! Will stay with me for a very long time' 5***** Reader Review _________ When thirty-year-old English teacher Anna Emerson is offered a summer job tutoring T.J. Callahan at his family's holiday home in the Maldives, she immediately accepts. T.J. wishes he weren't going. Almost seventeen and finally cancer free, he'd much rather spend the summer with his friends. But as Anna and T.J. jet off to join his family, the pilot of their seaplane suffers a fatal heart attack and crash-lands in the Indian Ocean. Marooned on an uninhabited island, Anna and T.J. work together to obtain water, food, fire and shelter. As the days turn to weeks then months and finally years, Anna begins to wonder if the biggest challenge of all might be living with a boy who is gradually becoming a man . . . As romantic as One Day and The Time Traveller's Wife, On the Island is the utterly compelling, scorching summer read that will whisk you away. _________ 'The perfect book for a little escapism' 5***** Reader Review 'A story that stays with you long after you've finished it' 5***** Reader Review",1412,"['Romance', 'Contemporary', 'Contemporary Romance', 'Fiction', 'Chick Lit', 'New Adult', 'Adult']"
Left Neglected,LISA GENOVA,"Sarah, a career-driven young mother, suffers a traumatic brain injury in a car accident that leaves her unable to perceive left-side information. The disability causes her to struggle through an uncertain recovery as she adapts to her new life.",1413,"['Fiction', 'Book Club', 'Contemporary', 'Medical', 'Adult Fiction', 'Adult', 'Audiobook']"
"""Democracy is in the Streets""",JIM MILLER,"On June 12, 1962, sixty young activists met in Port Huron, Michigan, to draft a manifesto for their generation. The document they produced, The Port Huron Statement, helped spark a dramatic rebirth of the left in America--and ignited a decade of dissent. In this book, James Miller vividly re-creates the turbulent history of the people and ideas that shaped the New Left, and America, during the 1960s. Focusing on politics and philosophy as well as personalities, Miller chronicles the careers of both the most publicized radical leaders and the less well known theorists and activists of the decade: C. Wright Mills, the sociologist who became the prophet of the powerless to a generation of students; Al Haber, the reluctant visionary who became the first president of Students for a Democratic Society; Richard Flacks, the intellectual who combined theory and practice in a new strategy for the American left; Sharon Jeffrey, who walked her first picket line at the age of five and whose dreams of community organizing took her from the campus to the inner city; Paul Booth, the precocious organizer of the first march on Washington to protest the Vietnam War; and Tom Hayden, the charismatic anti-leader whose personal odyssey--from voter registration in the segregated South to the riots in the Newark ghetto, from his trip to North Vietnam to his conspiracy trial after the siege of the 1968 Chicago convention--mirrored the convulsions of the 1960s.--From book jacket.",1414,"['Nonfiction', 'History', 'Biography', 'Holocaust', 'Memoir', 'World War II', 'Classics']"
Thirteen Orphans,JANE LINDSKOLD,"In an alternate world inspired by ancient Chinese lore and magic, Brenda learns about her magical ancestry after an attack on her father and finds herself among a band of orphans who each represent an animal from the Chinese zodiac.",1415,"['Science Fiction', 'Fiction', 'Humor', 'Audiobook', 'Fantasy', 'Science Fiction Fantasy', 'Comedy']"
Sáhara,CLIVE CUSSLER,"Searching for a treasure on the Nile, Dirk Pitt thwarts the attempted assassination of a beautiful U.N. scientist investigating a disease that is driving thousands of North Africans into madness, cannibalism, and death. The suspected cause of the epidemic is pollution that threatens to extinguish all oceanic life forms. In a race to save the world from environmental catastrophe, Pitt uncovers the truth behind two mysteries in the scorched desert--and makes a last, desperate stand in a battle he must win.",1416,"['Fiction', 'Adventure', 'Thriller', 'Action', 'Mystery', 'Suspense', 'Mystery Thriller']"
A Summer All Her Own,ROSANNE KELLER,"""For one unforgettable summer, Anna takes charge of her destiny, filled with a newly adventurous spirit. But when two very different men invite her into their lives, she must decide not just what kind of love she wants, but whether love itself is worth risking everything she's gained.""--BOOK JACKET.",1426,"['Horror', 'Fiction', 'Classics', 'Thriller', 'Paranormal', 'Fantasy', 'Mystery']"
One Foot in the Grave,JEANIENE FROST,"You can run from the grave, but you can't hide . . . Half-vampire Cat Crawfield is now Special Agent Cat Crawfield, working for the government to rid the world of the rogue undead. She's still using everything Bones, her sexy and dangerous ex, taught her, but when Cat is targeted for assassination, the only man who can help her is the vampire she left behind. Being around him awakens all her emotions, from the adrenaline kick of slaying vamps side by side to the reckless passion that consumed them. But a price on her head—wanted: dead or half-alive—means her survival depends on teaming up with Bones. And no matter how hard she tries to keep things professional between them, she'll find that desire lasts forever . . . and that Bones won't let her get away again.",1417,"['Vampires', 'Paranormal', 'Urban Fantasy', 'Romance', 'Paranormal Romance', 'Fantasy', 'Adult']"
The Last Anniversary,LIANE MORIARTY,"Sophie Honeywell always wondered if Thomas Gordon was the one she let get away. He was the perfect boyfriend, but on the day he was to propose, she broke his heart. A year later he married his travel agent, while Sophie has been mortifyingly single ever since. Now Thomas is back in her life because Sophie has unexpectedly inherited his aunt Connie's house on Scribbly Gum Island -- home of the famously unsolved MunroBabymystery. Sophie moves onto the island and begins a new life as part of an unconventional family where it seems everyone has a secret. Grace, a beautiful young mother, is feverishly planning a shocking escape from her perfect life. Margie, a frumpy housewife, has made a pact with a stranger, while dreamy Aunt Rose wonders if maybe it's about time she started making her own decisions. As Sophie's life becomes increasingly complicated, she discovers that sometimes you have to stop waiting around -- and come up with your own fairy-tale ending. As she so adroitly did in her smashing debut novel, Three Wishes, the incomparable Liane Moriarty once again combines sharp wit, lovable and eccentric characters, and a page-turning story for an unforgettable Last Anniversary.",1418,"['Fiction', 'Chick Lit', 'Mystery', 'Audiobook', 'Contemporary', 'Romance', 'Australia']"
Hunger: A Gone Novel,MICHAEL GRANT,"It's been three months since everyone under the age of fifteen became trapped in the bubble known as the FAYZ. Three months since all the adults disappeared. Gone. Food ran out weeks ago. Everyone is starving, but no one wants to figure out a solution. And each day, more and more kids are evolving, developing supernatural abilities that set them apart from the kids without powers. Tension rises and chaos is descending upon the town. It's the normal kids against the mutants. Each kid is out for himself, and even the good ones turn murderous. But a larger problem looms. The Darkness, a sinister creature that has lived buried deep in the hills, begins calling to some of the teens in the FAYZ. Calling to them, guiding them, manipulating them. The Darkness has awakened. And it is hungry.",1419,"['Young Adult', 'Dystopia', 'Fantasy', 'Science Fiction', 'Fiction', 'Paranormal', 'Horror']"
Fearless Fourteen,JANET EVANOVICH,"Bounty hunter Stephanie Plum and her motley companions--including Grandma Mazur, vice captain Joe Morelli, and Bob the Dog--become entangled in an adventure involving the Burg's premier funeral home and a family pot roast.",1420,"['Mystery', 'Fiction', 'Humor', 'Chick Lit', 'Romance', 'Crime', 'Audiobook']"
Clear Line of Fire,BADRINATH NUGGEHALLI,,1421,"['Fiction', 'Romance', 'Indian Literature', 'India', 'Contemporary', 'Novels', 'Young Adult']"
A Bear Called Paddington,MICHAEL BOND,A very small bear found by Mr. and Mrs. Brown at Paddington station becomes one of the family.,1422,"['Childrens', 'Classics', 'Fiction', 'Fantasy', 'Animals', 'Picture Books', 'Audiobook']"
Pretty Little Liars #2: Flawless,SARA SHEPARD,"In the exclusive town of Rosewood, Pennsylvania, where the sweetest smiles hide the darkest secrets, four pretty little liars—Spencer, Aria, Emily, and Hanna—have been very bad girls. . . . Spencer stole her sister's boyfriend. Aria is brokenhearted over her English teacher. Emily likes her new friend Maya . . . as much more than a friend. And Hanna's obsession with looking flawless is literally making her sick. But the most horrible secret of all is something so scandalous it could destroy their perfect little lives. And someone named ""A"" is threatening to do just that. At first they thought A was Alison, their friend who vanished three years ago . . . but then Alison turned up dead. So could A be Melissa, Spencer's ultracompetitive sister? Or Maya, who wants Emily all to herself? What about Toby, the mysterious guy who left town right after Alison went missing? One thing's for certain: A's got the dirt to bury them all alive, and with every crumpled note, wicked IM, and vindictive text message A sends, the girls get a little closer to losing it all.",1423,"['Young Adult', 'Mystery', 'Fiction', 'Contemporary', 'Romance', 'Chick Lit', 'Thriller']"
Cuda of the Celts,SUSAN ASHE,"Go Bananas Teacher's Guide Based on the Go Bananas series, this resource for teachers helps reinforce what students learn in their core reading program, through engaging activities that focus on reading skills. Teachers will find - activities that highlight the book's main message and tie students' responses to reading, writing, speaking, listening, and representing - activities that connect the topic of the book to other curriculum areas - notes to teachers with suggestions on how to implement an activity, adapt the activity to different levels and interests, and involve the home and community - quizzes to help assess an individual student's comprehension - reproducible blackline masters for students to use as worksheets for an activity - 48 pages; 8 1/2 x 11"" binder; B&W text; full-color cover",1424,"['Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Fantasy', 'Mystery', 'Adventure']"
"Inuyasha, Vol. 2",RUMIKO TAKAHASHI,Rated T+ for older teens.,1425,"['Manga', 'Fantasy', 'Graphic Novels', 'Romance', 'Comics', 'Adventure', 'Historical Fiction']"
The Innocent,DAVID BALDACCI,"America's best hitman was hired to kill--but when a D.C. government operation goes horribly wrong, he must rescue a teenage runaway and investigate her parents' murders in this #1 New York Times bestselling thriller. It begins with a hit gone wrong. Robie is dispatched to eliminate a target unusually close to home in Washington, D.C. But something about this mission doesn't seem right to Robie, and he does the unthinkable. He refuses to pull the trigger. Now, Robie becomes a target himself and is on the run. Fleeing the scene, Robie crosses paths with a wayward teenage girl, a fourteen-year-old runaway from a foster home. But she isn't an ordinary runaway--her parents were murdered, and her own life is in danger. Against all of his professional habits, Robie rescues her and finds he can't walk away. He needs to help her. Even worse, the more Robie learns about the girl, the more he's convinced she is at the center of a vast cover-up, one that may explain her parents' deaths and stretch to unimaginable levels of power. Now, Robie may have to step out of the shadows in order to save this girl's life...and perhaps his own.",1427,"['Thriller', 'Fiction', 'Mystery', 'Suspense', 'Audiobook', 'Crime', 'Mystery Thriller']"
Child 44,TOM ROB SMITH,"A relentless page-turner. A terrifying evocation of a paranoid world where no one can be trusted. A surprising, unexpected story of love and family, of hope and resilience. CHILD 44 is a thriller unlike any you have ever read. ""There is no crime."" Stalin's Soviet Union strives to be a paradise for its workers, providing for all of their needs. One of its fundamental pillars is that its citizens live free from the fear of ordinary crime and criminals. But in this society, millions do live in fear . . . of the State. Death is a whisper away. The mere suspicion of ideological disloyalty-owning a book from the decadent West, the wrong word at the wrong time-sends millions of innocents into the Gulags or to their executions. Defending the system from its citizens is the MGB, the State Security Force. And no MGB officer is more courageous, conscientious, or idealistic than Leo Demidov. A war hero with a beautiful wife, Leo lives in relative luxury in Moscow, even providing a decent apartment for his parents. His only ambition has been to serve his country. For this greater good, he has arrested and interrogated. Then the impossible happens. A different kind of criminal-a murderer-is on the loose, killing at will. At the same time, Leo finds himself demoted and denounced by his enemies, his world turned upside down, and every belief he's ever held shattered. The only way to save his life and the lives of his family is to uncover this criminal. But in a society that is officially paradise, it's a crime against the State to suggest that a murderer-much less a serial killer-is in their midst. Exiled from his home, with only his wife, Raisa, remaining at his side, Leo must confront the vast resources and reach of the MBG to find and stop a criminal that the State won't admit even exists.",1428,"['Fiction', 'Historical Fiction', 'Thriller', 'Mystery', 'Crime', 'Russia', 'Historical']"
These is My Words,NANCY E. TURNER,"A novel, told in diary form, of a pioneer woman's experiences in territorial Arizona. Includes discussion questions at the end.",1429,"['Historical Fiction', 'Book Club', 'Fiction', 'Historical', 'Romance', 'Westerns', 'Adult']"
A Warrior's Heart,MICKY WARD,"From his first bout at the age of seven, Micky Ward was known first and foremost for giving as good as he got, and for leaving absolutely everything he had in the ring. When he fought, quitting was never an option. It was that indomitable spirit that would allow him to survive, battle against, and overcome the harsh realities that he faced every day of his life. From the rough streets of Lowell, Massachusetts, to the blood and sweat of the international fight game, to the bright lights and adulation of Hollywood, this is a rousing, moving, tragic tale.",1430,"['Fiction', 'Romance', 'Chick Lit', 'Contemporary', 'Book Club', 'Audiobook', 'Australia']"
The Devil and Miss Prym,PAULO COELHO,"A community devoured by greed, cowardice, and fear. A man persecuted by the ghosts of his painful past. A young woman searching for happiness. In one eventful week, each will face questions of life, death, and power, and each will choose a path. Will they choose good or evil? In the remote village of Viscos -- a village too small to be on any map, a place where time seems to stand still -- a stranger arrives, carrying with him a backpack containing a notebook and eleven gold bars. He comes searching for the answer to a question that torments him: Are human beings, in essence, good or evil? In welcoming the mysterious foreigner, the whole village becomes an accomplice to his sophisticated plot, which will forever mark their lives. Paulo Coelho's stunning novel explores the timeless struggle between good and evil, and brings to our everyday dilemmas fresh perspective: incentive to master the fear that prevents us from following our dreams, from being different, from truly living. The Devil and Miss Prym is a story charged with emotion, in which the integrity of being human meets a terrifying test.",1431,"['Fiction', 'Philosophy', 'Novels', 'Fantasy', 'Spirituality', 'Magical Realism', 'Literature']"
The Kissing Hand,AUDREY PENN,"When Chester the raccoon is reluctant to go back to school, his mother teaches him a secret way to carry her love with him.",1432,"['Picture Books', 'Childrens', 'Animals', 'Family', 'School', 'Fiction', 'Love']"
Worth Dying For,LEE CHILD,"THE #1 NEW YORK TIMES BESTSELLING JACK REACHER SERIES • Don’t miss the hit streaming series Reacher! A heart-racing page-turner that hits the ground running and then accelerates all the way to a colossal showdown “Jack Reacher is the coolest continuing series character now on offer.”—Stephen King, in Entertainment Weekly There’s deadly trouble in the corn country of Nebraska . . . and Jack Reacher walks right into it. First he falls foul of the Duncans, a local clan that has terrified an entire county into submission. But it’s the unsolved case of a missing child, already decades old, that Reacher can’t let go. The Duncans want Reacher gone—and it’s not just past secrets they’re trying to hide. They’re awaiting a secret shipment that’s already late—and they have the kind of customers no one can afford to annoy. For as dangerous as the Duncans are, they’re just the bottom of a criminal food chain stretching halfway around the world. For Reacher, it would have made much more sense to keep on going, to put some distance between himself and the hard-core trouble that’s bearing down on him. For Reacher, that was also impossible.",1433,"['Thriller', 'Fiction', 'Mystery', 'Crime', 'Suspense', 'Action', 'Audiobook']"
Fantasy Lover,SHERRILYN KENYON,Will the love of sex therapist Grace Alexander be enough to free love-slave Julian of Macedon from a two-thousand-year-old curse?,1434,"['Romance', 'Paranormal Romance', 'Paranormal', 'Fantasy', 'Urban Fantasy', 'Mythology', 'Adult']"
Vertical Limit,MEL ODOM,"When an avalanche traps Peter Garrett's sister, who is part of a millionaire's ill-conceived climbing expedition near the top of K2, Peter is determined to organize a rescue party.",1435,"['Fiction', 'Contemporary', 'Drama', 'Chick Lit', 'Adult Fiction', 'Adult', 'Mystery']"
Prep,CURTIS SITTENFELD,"NEW YORK TIMES BESTSELLER • A modern classic of adolescent angst and ambition set in the world of prep school, from the author of Romantic Comedy and Eligible—“a tart and complex tale of social class, race, and gender politics” (The Boston Globe) One of The New York Times Book Review’s Ten Best Books of the Year Lee Fiora is an intelligent, observant fourteen-year-old when her father drops her off in front of her dorm at the prestigious Ault School in Massachusetts. She leaves her animated, affectionate family in South Bend, Indiana, at least in part because of the boarding school’s glossy brochure, in which boys in sweaters chat in front of old brick buildings, girls in kilts hold lacrosse sticks on pristinely mown athletic fields, and everyone sings hymns in chapel. As Lee soon learns, Ault is a cloistered world of jaded, attractive teenagers who spend summers on Nantucket and speak in their own clever shorthand. Both intimidated and fascinated by her classmates, Lee becomes a shrewd observer of—and, ultimately, a participant in—their rituals and mores. As a scholarship student, she constantly feels like an outsider and is both drawn to and repelled by other loners. By the time she’s a senior, Lee has created a hard-won place for herself at Ault. But when her behavior takes a self-destructive and highly public turn, her carefully crafted identity within the community is shattered. Ultimately, Lee’s experiences—complicated relationships with teachers; intense friendships with other girls; an all-consuming preoccupation with a classmate who is less than a boyfriend and more than a crush; conflicts with her parents, from whom Lee feels increasingly distant—coalesce into a singular portrait of the painful and thrilling adolescence universal to us all.",1436,"['Fiction', 'Young Adult', 'Contemporary', 'Chick Lit', 'Coming Of Age', 'Boarding School', 'Adult Fiction']"
The Winter Rose,JENNIFER DONNELLY,"It has been twelve years since a dark, murderous figure stalked the alleys and courts of Whitechapel. And yet, in the summer of 1900, East London is still poor, still brutal, still a shadow city to its western twin. Among the reformers is an idealistic young woman named India Selwyn-Jones, recently graduated from medical school. With the help of her influential fiance--Freddie Lytton, an up-and-coming Liberal MP--she works to shut down the area's opium dens that destroy both body and soul. Her selfless activities better her patients' lives and bring her immense gratification, but unfortunately, they also bring her into direct conflict with East London's ruling crime lord--Sid Malone. India is not good for business and at first, Malone wants her out. But against all odds, India and Sid fall in love. Different in nearly every way, they share one thing in common--they're both wounded souls. Their love is impossible and they know it, yet they cling to it desperately. Lytton, India's fiance, will stop at nothing to marry India and gain her family's fortune. Fractious criminal underlings and rivals conspire against Sid. When Sid is finally betrayed by one of his own, he must flee London to save his life. Mistakenly thinking him dead, India, pregnant and desperate, marries Freddie to provide a father for hers and Sid's child. India and Sid must each make a terrible sacrifice--a sacrifice that will change them both forever. One that will lead them to other lives, and other places...and perhaps--one distant, bittersweet day--back to each other.",1437,"['Music', 'Nonfiction', 'Biography', 'Memoir', 'Autobiography', 'Biography Memoir', 'Audiobook']"
ALIAS GRACE,MARGARET ATWOOD,,1438,"['Historical Fiction', 'Fiction', 'Mystery', 'Historical', 'Classics', 'Book Club', 'Canada']"
Illusions,RICHARD BACH,When two barnstorming adventurers meet in the fields of the Midwest one of them begins to learn about the realities of his world and what caused a real Messiah to abandon his mission.,1439,"['Fiction', 'Philosophy', 'Spirituality', 'Fantasy', 'Classics', 'Self Help', 'Religion']"
Soulless,GAIL CARRIGER,"Alexia Tarabotti is laboring under a great many social tribulations. First, she has no soul. Second, she's a spinster whose father is both Italian and dead. Third, she was rudely attacked by a vampire, breaking all standards of social etiquette. Where to go from there? From bad to worse apparently, for Alexia accidentally kills the vampire -- and then the appalling Lord Maccon (loud, messy, gorgeous, and werewolf) is sent by Queen Victoria to investigate. With unexpected vampires appearing and expected vampires disappearing, everyone seems to believe Alexia responsible. Can she figure out what is actually happening to London's high society? Will her soulless ability to negate supernatural powers prove useful or just plain embarrassing? Finally, who is the real enemy, and do they have treacle tart? SOULLESS is the first book of the Parasol Protectorate series: a comedy of manners set in Victorian London, full of werewolves, vampires, dirigibles, and tea-drinking.",1440,"['Fantasy', 'Steampunk', 'Romance', 'Paranormal', 'Vampires', 'Urban Fantasy', 'Fiction']"
Just One Day,GAYLE FORMAN,"From the New York Times bestselling author of If I Stay Allyson Healey's life is exactly like her suitcase—packed, planned, ordered. Then on the last day of her three-week post-graduation European tour, she meets Willem. A free-spirited, roving actor, Willem is everything she’s not, and when he invites her to abandon her plans and come to Paris with him, Allyson says yes. This uncharacteristic decision leads to a day of risk and romance, liberation and intimacy: 24 hours that will transform Allyson’s life. A book about love, heartbreak, travel, identity, and the “accidents” of fate, Just One Day shows us how sometimes in order to get found, you first have to get lost. . . and how often the people we are seeking are much closer than we know. The first in a sweepingly romantic duet of novels. Willem’s story—Just One Year—is coming soon!",1441,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'New Adult', 'Realistic Fiction', 'Travel']"
Days of Gold,JUDE DEVERAUX,"The New York Times bestselling author of The Summerhouse brings her signature “marvelously compelling” (Houston Chronicle) prose to the second historical romance in the charming Edilean series. Angus McTern is respected by the men of his clan and adored by the women. He takes his duties as laird seriously and has everything he wants in life—until Edilean Talbot shows up. Breathtakingly beautiful and born of privilege, Edilean needs Angus’s help to reclaim the gold she inherited from her father. Unfortunately, when Angus tries to seize it, he’s accused of theft, and has to leave behind all that he knows and escape with Edilean to the New World. There they discover almost insurmountable obstacles, and a love as wild and free as the land itself. Stirring and masterfully rendered, Jude Deveraux “incorporates her trademark sweet and salty characters into a pair of entertaining romances, one past, one present, to create one of her most fun and pleasing tales” (Booklist).",1442,"['Nonfiction', 'Science', 'History', 'Medicine', 'Medical', 'Health', 'Biology']"
